nodes,edges,density,average_clustering,average_neighbor_degree,largest_component_nodes,largest_component_density,largest_component_average_shortest_path,largest_component_diameter,category,method,error
188.0,702.0,0.03993628399135283,0.12266399460220553,12.748732805891924,188.0,0.03993628399135283,2.9241665718511776,6.0,animali,naive_random_walk,
188.0,90.0,0.005120036409147799,0.07943262411347518,1.172872340425532,28.0,0.09523809523809523,4.976190476190476,11.0,animali,conceptual_network,
188.0,233.0,0.0132552053703493,0.007624113475177305,3.5046141506247888,188.0,0.0132552053703493,6.405734440778246,17.0,animali,pathfinder,
,,,,,,,,,animali,correlation_based,No module named 'planarity.planarity'
188.0,27.0,0.0015360109227443395,0.0023049645390070925,0.39725177304964543,22.0,0.09523809523809523,3.9134199134199132,9.0,animali,first_edge,
34.0,159.0,0.28342245989304815,0.4366833501895422,12.249351383910208,34.0,0.28342245989304815,1.857397504456328,4.0,frutta,naive_random_walk,
34.0,8.0,0.0142602495543672,0.0,0.5,4.0,0.5,1.6666666666666667,3.0,frutta,conceptual_network,
34.0,36.0,0.06417112299465241,0.0,2.7583333333333333,34.0,0.06417112299465241,4.126559714795009,9.0,frutta,pathfinder,
,,,,,,,,,frutta,correlation_based,No module named 'planarity.planarity'
34.0,23.0,0.040998217468805706,0.08746498599439777,2.1142156862745094,17.0,0.16176470588235295,2.6323529411764706,6.0,frutta,first_edge,
42.0,153.0,0.17770034843205576,0.35457164115390566,10.181789184205151,41.0,0.18658536585365854,2.2414634146341466,5.0,verdura,naive_random_walk,
42.0,4.0,0.004645760743321719,0.0,0.21428571428571427,4.0,0.5,1.6666666666666667,3.0,verdura,conceptual_network,
42.0,51.0,0.059233449477351915,0.03412698412698413,3.071031746031746,41.0,0.06219512195121951,4.189024390243903,9.0,verdura,pathfinder,
,,,,,,,,,verdura,correlation_based,No module named 'planarity.planarity'
42.0,29.0,0.03368176538908246,0.06005291005291005,2.590079365079365,22.0,0.12554112554112554,2.5757575757575757,5.0,verdura,first_edge,
