subj,item1,item2,edge,
ANIMALI,gazzella,orsobruno,0,
ANIMALI,gazzella,lince,0,
ANIMALI,gazzella,grillo,0,
ANIMALI,gazzella,gorilla,0,
ANIMALI,gazzella,sogliola,0,
ANIMALI,gazzella,pulcino,0,
ANIMALI,gazzella,nasello,0,
ANIMALI,gazzella,somaro,0,
ANIMALI,gazzella,tacchino,0,
ANIMALI,gazzella,piccione,0,
ANIMALI,gazzella,tigre,0,
ANIMALI,gazzella,ratto,0,
ANIMALI,gazzella,mosca,0,
ANIMALI,gazzella,lombrico,0,
ANIMALI,gazzella,vespa,0,
ANIMALI,gazzella,squalobalena,0,
ANIMALI,nutria,panda,0,
ANIMALI,nutria,paguro,0,
ANIMALI,nutria,vacca,0,
ANIMALI,nutria,procione,0,
ANIMALI,nutria,pastoretedesco,0,
ANIMALI,nutria,stambecco,0,
ANIMALI,nutria,sanguisuga,0,
ANIMALI,nutria,ornitorinco,0,
ANIMALI,nutria,scarafaggio,0,
ANIMALI,nutria,pellicano,0,
ANIMALI,nutria,picchio,0,
ANIMALI,nutria,porcospino,0,
ANIMALI,nutria,renna,0,
ANIMALI,nutria,pulce,0,
ANIMALI,nutria,rana,0,
ANIMALI,nutria,pipistrello,1,
ANIMALI,nutria,porcellinodindia,0,
ANIMALI,nutria,piovra,0,
ANIMALI,nutria,volpe,1,
ANIMALI,nutria,orsopolare,0,
ANIMALI,nutria,pernice,0,
ANIMALI,nutria,pappagallo,1,
ANIMALI,nutria,pescepalla,0,
ANIMALI,nutria,orangotango,0,
ANIMALI,nutria,pescerosso,0,
ANIMALI,nutria,pecora,0,
ANIMALI,nutria,tricheco,0,
ANIMALI,nutria,serpente,0,
ANIMALI,nutria,scoiattolo,1,
ANIMALI,nutria,varano,0,
ANIMALI,nutria,ocelot,0,
ANIMALI,nutria,vitello,0,
ANIMALI,nutria,pescepagliaccio,0,
ANIMALI,nutria,pesce,0,
ANIMALI,nutria,pitone,0,
ANIMALI,nutria,uccello,0,
ANIMALI,nutria,rospo,0,
ANIMALI,nutria,zanzara,0,
ANIMALI,nutria,triceratopo,0,
ANIMALI,nutria,serpentetigre,0,
ANIMALI,nutria,rondone,0,
ANIMALI,nutria,sardina,0,
ANIMALI,nutria,tortora,0,
ANIMALI,nutria,termite,0,
ANIMALI,nutria,pescegatto,0,
ANIMALI,nutria,vongola,0,
ANIMALI,nutria,velociraptor,0,
ANIMALI,nutria,papera,0,
ANIMALI,nutria,ragno,0,
ANIMALI,nutria,rinoceronte,0,
ANIMALI,nutria,piranha,0,
ANIMALI,nutria,salamandra,1,
ANIMALI,nutria,scarabeo,0,
ANIMALI,nutria,sparviero,0,
ANIMALI,nutria,poiana,0,
ANIMALI,nutria,talpa,0,
ANIMALI,nutria,oca,0,
ANIMALI,nutria,tartaruga,0,
ANIMALI,nutria,pantera,0,
ANIMALI,nutria,tarantola,0,
ANIMALI,nutria,suino,0,
ANIMALI,nutria,orca,0,
ANIMALI,nutria,puma,1,
ANIMALI,nutria,storione,0,
ANIMALI,nutria,quaglia,0,
ANIMALI,nutria,pavone,0,
